var,eowYYYYMMDD,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape,Unknown,Total
Tests,20200905,6092,8469,27719,17103,2905,4881,4276,5003,13611,126,90185
Positive,20200912,724,2225,2085,1244,482,760,846,1543,992,9,10910
Tests,20200912,7738,9429,29643,17667,2906,5042,4374,5495,14660,153,97107
Positive,20200919,707,1836,1565,918,508,612,746,1443,837,4,9176
Tests,20200919,7516,7225,23186,14564,2610,4055,3742,4724,11184,68,78874
Positive,20200926,706,1834,1576,918,498,611,747,1447,837,4,9178
Tests,20200926,7515,7229,23185,14589,2601,4054,3748,4732,11179,67,78899
Positive,20201003,895,2204,1816,820,491,610,827,1379,962,9,10013
Tests,20201003,9628,10143,30351,15542,2938,5718,4718,4996,13898,158,98090
Positive,20201010,949,2445,2074,703,472,627,784,1241,1405,8,10708
Tests,20201010,9422,10778,32689,17048,3146,5532,4380,5228,16613,182,105018
Positive,20201017,1077,2500,2046,947,441,617,804,1206,1385,9,11032
Tests,20201017,9729,11046,33928,17277,3146,5526,4847,5004,18658,177,109338
Positive,20201024,1924,2022,1902,898,363,575,782,907,1632,17,11022
Tests,20201024,11752,10438,34937,18089,2931,5951,4725,4738,17899,218,111678
Positive,20201031,3325,1246,1609,878,336,499,556,600,1349,3,10401
Tests,20201031,13490,8371,32927,16903,2663,5708,4378,4032,16930,202,105604
Positive,20201107,4970,769,1299,800,242,486,372,374,1608,3,10923
Tests,20201107,17040,7265,31486,17335,2502,5669,3731,3271,18157,184,106640
Positive,20201114,6981,448,1222,778,200,392,337,302,2270,88,13018
Tests,20201114,22126,6189,32333,16728,2166,5111,3206,3248,19142,2257,112506
Positive,20201121,9109,295,1400,1164,134,335,189,201,3708,1,16536
Tests,20201121,27332,5931,34166,19340,2079,5061,2840,2707,22330,6,121792
Positive,20201128,9284,231,1683,1664,150,306,186,191,5473,0,19168
Tests,20201128,31398,5348,35499,20437,2162,5204,3134,2541,26612,1,132336
Positive,20201205,9383,362,2940,3909,223,336,214,216,9058,9,26650
Tests,20201205,28284,5745,42781,26217,2424,6350,3329,2893,35670,326,154019
Positive,20201212,10249,472,7493,10977,405,570,435,252,15392,37,46282
Tests,20201212,30045,6235,59151,45258,2754,7298,3748,3176,47532,606,205803
Positive,20201219,8492,671,11256,18028,815,1040,699,375,17931,0,59307
Tests,20201219,27937,6771,67193,56694,4869,10800,4159,3386,47091,9,228909
Positive,20201226,6020,1139,17059,23643,2138,2033,1295,558,17204,2,71091
Tests,20201226,18662,7369,69938,61500,5820,12984,5449,2835,39385,8,223950
Positive,20210102,7063,2197,28440,38078,6315,5051,2577,1257,23472,3,114453
Tests,20210102,24127,10443,92787,99420,12964,15708,6880,5270,58326,13,325938
Positive,20210109,7826,4430,,41620,10805,10411,4562,2447,23133,9,147878
Tests,20210109,40077,19700,153317,126615,22652,32277,12231,8806,66569,31,482275
Positive,20210116,5205,3983,29230,27503,8149,9805,3800,2096,14311,9,104091
Tests,20210116,27471,17967,132601,108277,19942,31451,13215,8648,50155,196,409923
Positive,20210123,2788,2905,17164,17628,4609,6370,2593,1397,7473,6,62933
Tests,20210123,21331,15536,101788,88564,13638,24745,11883,7493,38871,121,323970
Positive,20210130,1402,1898,8570,9394,2246,3801,1640,1046,4411,10,34418
Tests,20210130,16016,12282,76806,65178,8876,19285,9558,6300,32210,289,246800
Positive,20210206,747,1150,6269,5662,1111,2373,1065,717,2819,269,22182
Tests,20210206,13408,9779,61237,51546,6169,14061,7679,4693,27890,3378,199840
Positive,20210213,560,959,5034,3554,800,1699,931,540,2286,1,16364
Tests,20210213,12712,9993,62207,46480,5578,11818,7945,4484,28821,155,190193
Positive,20210220,328,786,3770,2262,578,1190,752,537,1860,2,12065
Tests,20210220,11945,10300,62652,39619,5570,11783,8326,4679,28743,329,183946
Positive,20210227,237,720,2963,2242,376,1009,698,492,1567,0,10304
Tests,20210227,11408,9739,60797,38397,4878,10999,8056,4590,29065,294,178223
Positive,20210306,220,685,2459,1618,301,922,655,382,1369,5,8616
Tests,20210306,11907,10763,58190,41852,4891,11159,9706,4431,29150,267,182316
Positive,20210313,157,825,2342,1302,247,939,667,582,1195,1,8257
Tests,20210313,11681,11677,61109,41662,4626,11193,9537,6281,27926,415,186107
Positive,20210320,146,796,2299,1080,190,939,773,756,1089,7,8075
Tests,20210320,10861,10998,56304,40502,4351,11129,8876,6960,27640,419,178040
Positive,20210327,133,852,2104,772,204,885,700,521,1099,3,7273
Tests,20210327,10451,10325,53602,33896,3843,10697,8308,5353,28546,286,165307
Positive,20210403,181,826,2012,777,149,814,699,488,1044,15,7005
Tests,20210403,9556,9923,52852,32057,3209,10536,9637,4375,25094,191,157430
Positive,20210410,188,997,2092,623,143,800,791,548,1009,15,7206
Tests,20210410,10202,12350,59707,35512,3873,10975,8789,5029,28701,257,175395
Positive,20210417,160,1444,2392,666,143,816,1048,1047,1041,7,8764
Tests,20210417,11161,12993,59947,34655,3994,11188,9606,7775,27935,178,179432
Positive,20210424,147,1836,2440,589,192,713,1129,1331,995,6,9378
Tests,20210424,10486,14114,59719,32393,4231,10985,9869,8128,28596,217,178738
Positive,20210501,142,1861,2614,501,161,577,999,1226,978,27,9086
Tests,20210501,9210,12011,52006,29016,3463,9625,8115,5768,25711,422,155347
Positive,20210508,171,2526,4122,661,224,803,1475,1957,1347,5,13291
Tests,20210508,11062,15336,64338,33491,4118,10858,10686,8160,30085,210,188344
Positive,20210515,378,3177,7420,763,241,1003,2118,2766,1858,20,19744
Tests,20210515,12940,19114,87539,35760,4794,12096,13636,11580,36059,252,233770
Positive,20210522,486,3100,10277,919,364,1252,2497,3218,1870,37,24020
Tests,20210522,14223,16898,94231,35078,4903,13644,14698,13074,34442,228,241419
Positive,20210529,676,3636,13765,1034,517,1380,2801,3292,2305,29,29435
Tests,20210529,14007,19992,99925,34556,4821,13214,16049,14988,36135,258,253945
Positive,20210605,940,3103,19380,1323,837,0,3008,2313,3025,76,35573
Tests,20210605,15224,18842,106596,33771,5847,11477,16071,11291,37686,351,257156
Positive,20210612,1508,3381,36167,2685,1183,2091,3822,2168,5403,53,58461
Tests,20210612,20274,20307,147678,41912,6960,13011,17883,10210,47766,339,326340
Positive,20210619,2575,3228,,3745,2206,3193,5537,1847,8035,80,86067
Tests,20210619,22419,19022,171052,45110,8246,14836,20383,9157,47424,411,358060
Positive,20210626,3355,3321,73844,,4813,4793,7551,1728,10965,1,116003
Tests,20210626,25846,19849,199383,51188,13501,19580,24248,9294,56862,3,419754
Positive,20210703,4090,3753,84147,9173,8282,6886,9564,1709,15374,0,142978
Tests,20210703,26074,19576,223679,62084,18647,22267,27808,9054,65170,8,474367
Positive,20210710,4546,3828,70436,11523,10813,8372,10397,1684,16916,0,138515
Tests,20210710,26890,18362,181527,63287,20978,22500,27152,7855,62587,8,431146
Positive,20210717,4812,3478,41589,5025,8996,7528,7925,1827,17442,0,98622
Tests,20210717,24716,15445,117727,25773,18925,20212,22172,7315,58283,8,310576
Positive,20210724,5169,3436,28004,10551,5712,6258,6433,2148,18372,2,86085
Tests,20210724,24379,15699,97005,50341,13391,0,18675,7476,57692,11,312563
Positive,20210731,5980,3467,22618,13081,3883,6124,4883,2915,23177,1,86129
Tests,20210731,28574,16608,100568,61327,11556,18476,18228,9703,71860,10,336910
Positive,20210807,7220,4225,16283,17360,2742,5730,4323,3439,24244,5,85571
Tests,20210807,33733,18357,93833,77717,9955,18814,17383,11827,72912,30,354561
Positive,20210814,9136,5013,11686,20112,1935,4692,3632,3784,21161,0,81151
Tests,20210814,39415,21306,80325,84132,8459,16770,15767,10933,65362,11,342480
Positive,20210821,13077,6735,10109,26380,1935,4921,3828,4639,21266,5,92895
Tests,20210821,54620,27492,84590,105621,9216,19813,16129,13828,72726,35,404070
Positive,20210828,12325,6183,7240,22354,1376,3967,2939,3632,16340,1,76357
Tests,20210828,54843,25586,78309,101021,8279,20039,15401,12494,60838,11,376821
Positive,20210904,8658,4952,4737,15209,904,2575,2456,3052,11063,4,53610
Tests,20210904,43232,22735,75019,80849,7002,19460,14331,11462,53284,23,327397
Positive,20210911,6243,3925,3641,9291,676,1821,1869,2679,7620,1,37766
Tests,20210911,34312,21038,73619,63142,6780,16649,13110,10599,47635,24,286908
Positive,20210918,3280,2544,2637,5615,281,1197,1160,2058,4564,1,23337
Tests,20210918,25578,17110,71718,54034,4960,14774,11805,9211,41065,11,250266
Positive,20210925,1742,1523,1733,3048,189,724,667,1417,2592,0,13635
Tests,20210925,18265,11786,63199,41507,4525,11198,10352,6616,31861,6,199315
Positive,20211002,1093,1018,1334,1837,135,433,494,844,2012,1,9201
Tests,20211002,168,11105,65859,39717,4830,10335,10071,6118,32409,7,197344
Positive,20211009,698,644,1150,1173,77,330,324,528,1260,0,6184
Tests,20211009,15038,9709,65273,37826,4169,8956,9377,5007,30606,6,185967
Positive,20211016,452,534,840,922,67,250,305,433,1043,0,4846
Tests,20211016,14893,9666,63025,37833,4387,8964,9846,4928,30710,19,184271
Positive,20211023,235,378,593,652,57,205,244,284,650,1,3299
Tests,20211023,13673,9832,63155,35845,4015,8800,9995,4930,29034,19,179298
Positive,20211030,188,287,547,429,43,148,141,236,446,0,2465
Tests,20211030,12865,9666,59464,33922,4112,8915,9504,4575,27452,6,170481
Positive,20211106,143,239,446,353,47,135,126,140,331,0,1960
Tests,20211106,12938,10210,61076,35024,4440,10077,9797,5032,27437,38,176069
Positive,20211113,112,182,751,309,47,116,126,250,318,0,2211
Tests,20211113,16301,11567,66284,36899,4055,11239,9614,5432,28944,21,190356
Positive,20211120,139,124,3180,297,81,177,225,166,339,0,4728
Tests,20211120,19605,10847,67766,37492,3812,8937,9541,4838,29880,5,192723
Positive,20211127,202,255,14811,631,472,510,771,193,928,2,18775
Tests,20211127,20000,10000,89618,36437,4503,8647,9442,4356,33878,34,216915
Positive,20211204,1600,1915,69622,5431,3150,4026,4353,500,6190,5,96792
Tests,20211204,27758,13345,190557,47690,9588,14707,15792,5018,46745,290,371490
Positive,20211211,8389,8717,81658,26357,6564,8619,10929,1969,18598,13,171813
Tests,20211211,31228,23241,211275,81626,14880,21038,24131,7107,66194,57,480777
Positive,20211218,13290,9636,40717,35808,5720,7674,7748,3729,27365,5,151692
Tests,20211218,32423,23460,139710,85904,12890,18974,19213,9203,69311,19,411107
Positive,20211225,42219,6279,22873,28123,3602,5045,5491,3003,27174,4,143813
Tests,20211225,26007,18376,100323,65185,9725,15604,21208,7205,59432,15,323080
Positive,20220101,6709,3055,11548,15506,1712,2425,2098,1855,15107,2,60017
Tests,20220101,16328,10380,60059,41609,5092,9133,7924,4650,37583,28,192786
Positive,20220108,6009,2874,13310,13406,2002,2403,2343,2522,15525,4,60398
Tests,20220108,20478,13983,82848,48847,7957,13867,11077,7514,45746,26,252343
Positive,20220115,3002,1623,8638,6771,1275,1693,1545,1526,8701,2,34776
Tests,20220115,16840,13472,79141,40562,6326,11849,11131,6692,37883,31,223927
Positive,20220122,1457,1166,6444,3861,1710,1669,1526,841,5033,2,23709
Tests,20220122,13707,12915,73562,35102,6911,10541,10683,4765,33710,30,201926
Positive,20220129,1147,1565,8195,3032,2326,2873,1896,630,3820,7,25491
Tests,20220129,13000,13550,79431,33373,8327,13834,12318,4495,29219,36,207583
Positive,20220205,857,1433,7862,2687,1677,2428,1688,562,3492,79,22765
Tests,20220205,12656,13767,79159,32504,7316,12214,11557,4078,29012,809,203072
Positive,20220212,629,1202,7441,2676,894,2051,1331,454,3453,84,20215
Tests,20220212,12064,12990,78074,33138,5925,11021,11042,3897,28513,910,197574
Positive,20220219,729,1023,7477,2283,522,1548,1417,374,3437,102,18912
Tests,20220219,11177,12067,75835,30960,5065,9890,9600,3496,26522,1444,186056
Positive,20220226,589,870,6086,2476,352,1294,901,267,3251,98,16184
Tests,20220226,10611,10790,70707,31865,4253,9364,8789,3183,26056,1246,176864
Positive,20220305,504,660,4827,2135,250,726,681,253,2894,77,13007
Tests,20220305,10145,9471,63729,31555,3967,8463,7654,3247,24940,1543,164714
Positive,20220312,414,438,3760,1800,196,530,479,208,2686,63,10574
Tests,20220312,9368,8343,58638,30388,3726,7403,6632,2918,21895,1227,150538
Positive,20220319,328,330,3770,1650,167,367,366,158,2594,62,9792
Tests,20220319,9223,8738,64793,30379,4000,7776,7398,3124,22279,1314,159024
Positive,20220326,411,289,3492,1806,126,269,346,126,2482,64,9411
Tests,20220326,8374,7653,55625,30819,3090,6551,6154,2773,19894,1344,142277
Positive,20220402,517,323,4055,2133,92,291,252,127,2295,90,10175
Tests,20220402,9133,9189,60346,30771,3611,7275,6730,2961,19362,1477,150855
Positive,20220409,572,247,4528,2068,99,286,228,95,2324,72,10519
Tests,20220409,9179,8130,53657,26569,2419,6903,5577,2575,18713,887,134609
Positive,20220416,606,288,6002,2211,102,268,230,109,2287,108,12211
Tests,20220416,7462,6897,50499,20377,1937,5307,4841,2301,15810,1135,116566
Positive,20220423,999,665,11828,5415,227,524,499,248,3406,148,23959
Tests,20220423,8065,7339,57694,26924,2076,5473,5069,2343,18734,977,134694
Positive,20220430,1409,1328,15795,8335,368,778,789,453,4211,168,33634
Tests,20220430,8519,8222,64745,31155,2361,6752,5633,2492,21427,997,152303
Positive,20220507,2717,2334,20049,11727,440,1152,1237,802,6685,241,47384
Tests,20220507,11084,9962,76932,39118,2699,7066,6516,3271,21942,1102,179692
Positive,20220514,3370,2718,19453,9783,478,1368,1609,1198,8137,220,48334
Tests,20220514,13345,10692,80383,40444,3095,7567,7595,4141,24445,1030,192737
Positive,20220521,3207,2492,13936,5926,337,1300,1348,1492,8053,148,38239
Tests,20220521,13233,10557,70973,32674,2801,8391,7265,4428,24327,870,175519
Positive,20220528,2194,1433,8385,3456,278,876,1003,847,6022,108,24602
Tests,20220528,11478,8430,59298,27051,2602,7780,6746,3548,20644,794,148371
Positive,20220604,1338,867,5012,1895,226,683,651,540,3383,62,14657
Tests,20220604,8998,6972,48971,24732,2162,7060,6122,3222,16195,778,125212
Positive,20220611,901,616,3420,1348,184,511,522,362,2267,57,10188
Tests,20220611,9111,6929,44505,23403,2127,7007,5928,3017,15862,711,118600
Positive,20220618,504,327,2160,769,120,310,336,168,1103,12,5809
Tests,20220618,7466,4997,34280,18985,1707,5403,4290,1974,10915,332,90349
Positive,20220625,302,199,1668,600,98,285,258,86,769,20,4285
Tests,20220625,7153,5191,33802,19975,1839,4751,4276,1864,10021,373,89245
Positive,20220702,146,90,936,264,38,148,100,43,360,4,2129
Tests,20220702,2224,2503,20918,8897,786,2873,2119,926,6368,104,47718
Positive,20220709,127,89,965,260,36,131,94,18,259,4,1983
Tests,20220709,1888,2342,19145,8242,665,2714,1952,835,4959,46,42788
Positive,20220716,110,83,884,244,30,106,80,31,249,2,1819
Tests,20220716,1597,1894,17199,7413,580,2451,1293,639,3980,28,37074
